LOAD | addr=577 | data=22973 + j0
LOAD | addr=321 | data=22674 + j0
LOAD | addr=833 | data=22322 + j0
LOAD | addr=193 | data=21461 + j0
LOAD | addr=705 | data=5267 + j0
LOAD | addr=449 | data=5967 + j0
LOAD | addr=961 | data=6330 + j0
LOAD | addr=33 | data=6581 + j0
LOAD | addr=545 | data=6760 + j0
LOAD | addr=289 | data=6907 + j0
LOAD | addr=801 | data=7020 + j0
LOAD | addr=161 | data=7142 + j0
LOAD | addr=673 | data=7217 + j0
LOAD | addr=417 | data=7269 + j0
LOAD | addr=929 | data=7323 + j0
LOAD | addr=97 | data=7370 + j0
LOAD | addr=609 | data=7420 + j0
LOAD | addr=353 | data=7473 + j0
LOAD | addr=865 | data=7506 + j0
LOAD | addr=225 | data=7539 + j0
LOAD | addr=737 | data=7574 + j0
LOAD | addr=481 | data=7598 + j0
LOAD | addr=993 | data=7623 + j0
LOAD | addr=17 | data=7640 + j0
LOAD | addr=529 | data=7655 + j0
LOAD | addr=273 | data=7674 + j0
LOAD | addr=785 | data=7673 + j0
LOAD | addr=145 | data=7668 + j0
LOAD | addr=657 | data=7667 + j0
LOAD | addr=401 | data=7656 + j0
LOAD | addr=913 | data=7645 + j0
LOAD | addr=81 | data=7627 + j0
LOAD | addr=593 | data=7603 + j0
LOAD | addr=337 | data=7585 + j0
LOAD | addr=849 | data=7549 + j0
LOAD | addr=209 | data=7507 + j0
LOAD | addr=721 | data=7472 + j0
LOAD | addr=465 | data=7429 + j0
LOAD | addr=977 | data=7387 + j0
LOAD | addr=49 | data=7338 + j0
LOAD | addr=561 | data=7282 + j0
LOAD | addr=305 | data=7235 + j0
LOAD | addr=817 | data=7174 + j0
LOAD | addr=177 | data=7045 + j0
LOAD | addr=689 | data=6929 + j0
LOAD | addr=433 | data=6804 + j0
LOAD | addr=945 | data=6682 + j0
LOAD | addr=113 | data=6448 + j0
LOAD | addr=625 | data=6160 + j0
LOAD | addr=369 | data=5689 + j0
LOAD | addr=881 | data=3152 + j0
LOAD | addr=241 | data=22089 + j0
LOAD | addr=753 | data=22559 + j0
LOAD | addr=497 | data=22815 + j0
LOAD | addr=1009 | data=23050 + j0
LOAD | addr=9 | data=23174 + j0
LOAD | addr=521 | data=23312 + j0
LOAD | addr=265 | data=23423 + j0
LOAD | addr=777 | data=23537 + j0
LOAD | addr=137 | data=23607 + j0
LOAD | addr=649 | data=23656 + j0
LOAD | addr=393 | data=23703 + j0
LOAD | addr=905 | data=23746 + j0
LOAD | addr=73 | data=23787 + j0
LOAD | addr=585 | data=23836 + j0
LOAD | addr=329 | data=23869 + j0
LOAD | addr=841 | data=23897 + j0
LOAD | addr=201 | data=23932 + j0
LOAD | addr=713 | data=23952 + j0
LOAD | addr=457 | data=23968 + j0
LOAD | addr=969 | data=23982 + j0
LOAD | addr=41 | data=23991 + j0
LOAD | addr=553 | data=24006 + j0
LOAD | addr=297 | data=24007 + j0
LOAD | addr=809 | data=23999 + j0
LOAD | addr=169 | data=23998 + j0
LOAD | addr=681 | data=23984 + j0
LOAD | addr=425 | data=23965 + j0
LOAD | addr=937 | data=23945 + j0
LOAD | addr=105 | data=23920 + j0
LOAD | addr=617 | data=23901 + j0
LOAD | addr=361 | data=23870 + j0
LOAD | addr=873 | data=23827 + j0
LOAD | addr=233 | data=23792 + j0
LOAD | addr=745 | data=23749 + j0
LOAD | addr=489 | data=23701 + j0
LOAD | addr=1001 | data=23655 + j0
LOAD | addr=25 | data=23602 + j0
LOAD | addr=537 | data=23557 + j0
LOAD | addr=281 | data=23455 + j0
LOAD | addr=793 | data=23321 + j0
LOAD | addr=153 | data=23209 + j0
LOAD | addr=665 | data=23090 + j0
LOAD | addr=409 | data=22888 + j0
LOAD | addr=921 | data=22652 + j0
LOAD | addr=89 | data=22258 + j0
LOAD | addr=601 | data=21601 + j0
LOAD | addr=345 | data=4784 + j0
LOAD | addr=857 | data=5873 + j0
LOAD | addr=217 | data=6249 + j0
LOAD | addr=729 | data=6481 + j0
LOAD | addr=473 | data=6689 + j0
LOAD | addr=985 | data=6797 + j0
LOAD | addr=57 | data=6915 + j0
LOAD | addr=569 | data=7015 + j0
LOAD | addr=313 | data=7111 + j0
LOAD | addr=825 | data=7199 + j0
LOAD | addr=185 | data=7246 + j0
LOAD | addr=697 | data=7285 + j0
LOAD | addr=441 | data=7326 + j0
LOAD | addr=953 | data=7359 + j0
LOAD | addr=121 | data=7397 + j0
LOAD | addr=633 | data=7426 + j0
LOAD | addr=377 | data=7448 + j0
LOAD | addr=889 | data=7480 + j0
LOAD | addr=249 | data=7500 + j0
LOAD | addr=761 | data=7510 + j0
LOAD | addr=505 | data=7521 + j0
LOAD | addr=1017 | data=7524 + j0
LOAD | addr=5 | data=7531 + j0
LOAD | addr=517 | data=7532 + j0
LOAD | addr=261 | data=7521 + j0
LOAD | addr=773 | data=7520 + j0
LOAD | addr=133 | data=7509 + j0
LOAD | addr=645 | data=7486 + j0
LOAD | addr=389 | data=7465 + j0
LOAD | addr=901 | data=7438 + j0
LOAD | addr=69 | data=7415 + j0
LOAD | addr=581 | data=7388 + j0
LOAD | addr=325 | data=7348 + j0
LOAD | addr=837 | data=7317 + j0
LOAD | addr=197 | data=7280 + j0
LOAD | addr=709 | data=7230 + j0
LOAD | addr=453 | data=7185 + j0
